Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64e62efce5c0fef4cbd341b1,5de1ac810f8b6721970ab78a,APPROVED,2023-08-23T16:08:38.034000Z,2023-08-23T16:32:25.042000Z,2023-08-23T16:32:25.713000,2023-08-23T16:32:25.611462Z,1428,CRSWQ1W7,2339,48,Female,White,United States,United States,United States,English,No,Full-Time
64e62f0ea695d23805dc5541,63b6be87ead45e4fa772fbf5,APPROVED,2023-08-23T16:08:49.444000Z,2023-08-23T16:30:31.539000Z,2023-08-23T16:30:34.129000,2023-08-23T16:30:32.582811Z,1303,CRSWQ1W7,1852,39,Female,White,United States,United States,United States,English,No,Full-Time
64e62f0f43cba258455a4b79,648786bd2c580f666fb051cd,APPROVED,2023-08-23T16:09:00.642000Z,2023-08-23T16:35:45.834000Z,2023-08-23T16:35:46.453000,2023-08-23T16:35:46.386055Z,1606,CRSWQ1W7,316,49,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
64e62f46a3bc75445f3a818c,60fcf983b8bc5ffc2e7f793c,APPROVED,2023-08-23T16:09:45.840000Z,2023-08-23T16:23:52.582000Z,2023-08-23T16:23:59.985000Z,2023-08-23T16:24:02.421246Z,847,CRSWQ1W7,129,28,Female,White,United States,United States,United States,English,No,Full-Time
64e62f4afcf556a7bf94bae7,6107acfe97c63575a2344e36,APPROVED,2023-08-23T16:10:05.543000Z,2023-08-23T16:22:35.257000Z,2023-08-23T16:22:57.219000Z,2023-08-23T16:23:16.815939Z,750,CRSWQ1W7,2626,25,Female,Black,United States,United States,United States,English,No,Part-Time
64e62f6456e4e498524976c8,55a28851fdf99b602e6b05dd,APPROVED,2023-08-23T16:10:16.086000Z,2023-08-23T16:24:30.563000Z,2023-08-23T16:24:31.356000,2023-08-23T16:24:31.245034Z,855,CRSWQ1W7,3075,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e62f8da60278d20744ebe6,5dd2bdc1fbb5733c293e6c6e,APPROVED,2023-08-23T16:11:01.466000Z,2023-08-23T16:21:42.124000Z,2023-08-23T16:21:45.239000,2023-08-23T16:21:42.687981Z,641,CRSWQ1W7,1368,49,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64e62f8f65889e5c098a4844,5db0a97f127d4000117cdfa0,APPROVED,2023-08-23T16:11:03.067000Z,2023-08-23T16:22:44.548000Z,2023-08-23T16:23:05.733000Z,2023-08-23T16:23:24.137751Z,702,CRSWQ1W7,3910,47,Female,White,United States,United States,United States,English,No,Full-Time
64e62f8fb9465832fee39b12,5dc4c22f0389e438ac69eac9,APPROVED,2023-08-23T16:11:04.464000Z,2023-08-23T16:28:32.067000Z,2023-08-23T16:28:32.712000,2023-08-23T16:28:32.635796Z,1048,CRSWQ1W7,961,37,Female,Black,United States,United States,United States,English,No,Full-Time
64e62f902b82d86074e315cc,5f556bd46e6c4c93a5a90c77,APPROVED,2023-08-23T16:11:12.856000Z,2023-08-23T16:43:24.109000Z,2023-08-23T16:43:24.906000,2023-08-23T16:43:24.834248Z,1932,CRSWQ1W7,4328,22,Female,Asian,Bangladesh,United States,United States,Bengali,No,Full-Time
64e62f9c04b693dfa596eae6,63c4a90d09909e33d5e82f21,APPROVED,2023-08-23T16:11:17.437000Z,2023-08-23T16:27:46.117000Z,2023-08-23T16:27:46.797000,2023-08-23T16:27:46.727426Z,989,CRSWQ1W7,997,50,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e62f9df602b4cfa8ba8579,5b7aefd06c1ccb000178b710,APPROVED,2023-08-23T16:11:12.393000Z,2023-08-23T16:30:57.636000Z,2023-08-23T16:30:58.774000,2023-08-23T16:30:58.671552Z,1186,CRSWQ1W7,1722,61,Female,White,United States,United States,United States,English,No,Part-Time
64e62fb1b6e552fb2d98eb40,646619d0918746fb726da63e,APPROVED,2023-08-23T16:11:38.292000Z,2023-08-23T16:32:07.178000Z,2023-08-23T16:32:07.836000,2023-08-23T16:32:07.792075Z,1229,CRSWQ1W7,666,60,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64e62fd92f05337263b9026c,5d41df0ca7b5800001a0341a,APPROVED,2023-08-23T16:17:50.816000Z,2023-08-23T17:00:32.331000Z,2023-08-23T17:00:32.867000,2023-08-23T17:00:32.799734Z,2562,CRSWQ1W7,2641,61,Female,White,United States,United States,United States,English,No,Full-Time
64e62fe3094ddd5a382085db,574ce0a57fd0ec000db73aa6,APPROVED,2023-08-23T16:12:23.256000Z,2023-08-23T16:19:42.846000Z,2023-08-23T16:19:43.466000,2023-08-23T16:19:43.380936Z,440,CRSWQ1W7,5742,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e6300c2e9bf350aad352aa,61112db8ab8c64a2c49841dc,APPROVED,2023-08-23T16:13:04.340000Z,2023-08-23T16:21:19.210000Z,2023-08-23T16:21:19.797000,2023-08-23T16:21:19.724347Z,495,CRSWQ1W7,129,26,Female,White,United States,United States,United States,English,Yes,Full-Time
64e63024b5989f606dfa505a,5e954b384491ad117052cd48,APPROVED,2023-08-23T16:13:28.162000Z,2023-08-23T16:23:18.398000Z,2023-08-23T16:23:41.673000Z,2023-08-23T16:23:50.721996Z,591,CRSWQ1W7,3222,22,Female,White,United States,United States,United States,English,Yes,Full-Time
64e63036d9aa9081f1d0aa5c,5dd5fdd811b0bd5ac65a9b3a,APPROVED,2023-08-23T16:13:48.359000Z,2023-08-23T16:39:17.820000Z,2023-08-23T16:39:18.414000,2023-08-23T16:39:18.336456Z,1530,CRSWQ1W7,1233,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e630405f164e4a786f719c,63a4c930cad013279a39566c,APPROVED,2023-08-23T16:22:50.287000Z,2023-08-23T17:19:43.987000Z,2023-08-23T17:19:46.490000,2023-08-23T17:19:46.411534Z,3414,CRSWQ1W7,921,58,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e6304eda07d6073a0fc9ab,623537f22ffeb94d58da7a10,APPROVED,2023-08-23T16:14:10.630000Z,2023-08-23T16:29:21.901000Z,2023-08-23T16:29:33.504000Z,2023-08-23T16:29:38.741497Z,912,CRSWQ1W7,2604,51,Female,White,United States,United States,United States,English,No,Full-Time
